# Relatório de malha — Lotus Elise 111S

Objetos de malha: 130

| Objeto | Vértices | Faces | Quads | Tris | N-gons | Non-manifold | Borda |
|---|---|---|---|---|---|---|---|
| GEO_Badge_111S | 536 | 386 | 134 | 252 | 0 | 0 | 536 |
| GEO_Badge_Front | 266 | 288 | 240 | 48 | 0 | 0 | 0 |
| GEO_Badge_LOTUS | 1240 | 914 | 310 | 604 | 0 | 0 | 1240 |
| GEO_Body_Hull | 720 | 718 | 718 | 0 | 0 | 0 | 0 |
| GEO_Cabin_Hull | 150 | 148 | 148 | 0 | 0 | 0 | 0 |
| GEO_Cockpit_Liner | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_Dashboard | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_Diffuser_Fin_L | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_Diffuser_Fin_R | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_Diffuser_Reflector_L | 576 | 598 | 550 | 48 | 0 | 0 | 0 |
| GEO_Diffuser_Reflector_R | 576 | 598 | 550 | 48 | 0 | 0 | 0 |
| GEO_DrivingLamp_L_1 | 672 | 698 | 642 | 56 | 0 | 0 | 0 |
| GEO_DrivingLamp_L_2 | 672 | 698 | 642 | 56 | 0 | 0 | 0 |
| GEO_DrivingLamp_R_1 | 672 | 698 | 642 | 56 | 0 | 0 | 0 |
| GEO_DrivingLamp_R_2 | 672 | 698 | 642 | 56 | 0 | 0 | 0 |
| GEO_EngineCover_Louver_L_1 | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_EngineCover_Louver_L_2 | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_EngineCover_Louver_L_3 | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_EngineCover_Louver_L_4 | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_EngineCover_Louver_L_5 | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_EngineCover_Louver_L_6 | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_EngineCover_Louver_R_1 | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_EngineCover_Louver_R_2 | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_EngineCover_Louver_R_3 | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_EngineCover_Louver_R_4 | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_EngineCover_Louver_R_5 | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_EngineCover_Louver_R_6 | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_EngineCover_Recess | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_Exhaust_Tip_L | 672 | 698 | 642 | 56 | 0 | 0 | 0 |
| GEO_Exhaust_Tip_R | 672 | 698 | 642 | 56 | 0 | 0 | 0 |
| GEO_Front_Splitter | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_Grille_Bar_1 | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_Grille_Bar_2 | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_Grille_Bar_3 | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_Grille_Bar_4 | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_Grille_Bar_5 | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_Grille_Recess | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_Headlamp_Bulb_L_1 | 576 | 598 | 550 | 48 | 0 | 0 | 0 |
| GEO_Headlamp_Bulb_L_2 | 576 | 598 | 550 | 48 | 0 | 0 | 0 |
| GEO_Headlamp_Bulb_R_1 | 576 | 598 | 550 | 48 | 0 | 0 | 0 |
| GEO_Headlamp_Bulb_R_2 | 576 | 598 | 550 | 48 | 0 | 0 | 0 |
| GEO_Headlamp_Housing_L | 266 | 288 | 240 | 48 | 0 | 0 | 0 |
| GEO_Headlamp_Housing_R | 266 | 288 | 240 | 48 | 0 | 0 | 0 |
| GEO_Headlamp_Lens_L | 266 | 288 | 240 | 48 | 0 | 0 | 0 |
| GEO_Headlamp_Lens_R | 266 | 288 | 240 | 48 | 0 | 0 | 0 |
| GEO_Headlamp_Reflector_L | 266 | 288 | 240 | 48 | 0 | 0 | 0 |
| GEO_Headlamp_Reflector_R | 266 | 288 | 240 | 48 | 0 | 0 | 0 |
| GEO_Hood_Vent | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_Indicator_Lens_L | 266 | 288 | 240 | 48 | 0 | 0 | 0 |
| GEO_Indicator_Lens_R | 266 | 288 | 240 | 48 | 0 | 0 | 0 |
| GEO_Mirror_Shell_L | 266 | 288 | 240 | 48 | 0 | 0 | 0 |
| GEO_Mirror_Shell_R | 266 | 288 | 240 | 48 | 0 | 0 | 0 |
| GEO_Mirror_Stalk_L | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_Mirror_Stalk_R | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_Rear_Diffuser | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_Rear_Vent_Slat_1 | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_Rear_Vent_Slat_2 | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_Rear_Vent_Slat_3 | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_Rear_Vent_Slat_4 | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_Rear_Vent_Slat_5 | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_Rear_Vent_Slat_6 | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_Rear_Vent_Slat_7 | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_Rear_Vent_Slat_8 | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_Rear_Vent_Slat_9 | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_RollBar | 896 | 896 | 896 | 0 | 0 | 0 | 0 |
| GEO_Seat_Backrest_L | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_Seat_Backrest_R | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_Seat_Cushion_L | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_Seat_Cushion_R | 48 | 50 | 42 | 8 | 0 | 0 | 0 |
| GEO_Steering_Wheel | 640 | 640 | 640 | 0 | 0 | 0 | 0 |
| GEO_TailLamp_Lens_L_1 | 672 | 698 | 642 | 56 | 0 | 0 | 0 |
| GEO_TailLamp_Lens_L_2 | 672 | 698 | 642 | 56 | 0 | 0 | 0 |
